Movie_name,Release_year,Movie_rating,Director of movie,Starring
The Day the Earth Stood Still,(1951),95%,Robert Wise,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe"
Akira,(2020),90%,Katsuhiro Ôtomo,"Cameron Clarke, Mitsuo Iwara, Nozomu Sasaki, Jan Rabson"
Children of Men,(2006),92%,Alfonso Cuarón,"Clive Owen, Julianne Moore, Michael Caine, Chiwetel Ejiofor"
The Terminator,(1984),100%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Live Die Repeat: Edge of Tomorrow,(2014),91%,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstrong"
Aliens,(1986),97%,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Star Wars: Episode V - The Empire Strikes Back,(1980),94%,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
The Thing,(1982),85%,John Carpenter,"Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon"
Mad Max: Fury Road,(2015),97%,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley"
Alien,(1979),98%,Ridley Scott,"Sigourney Weaver, Tom Skerritt, Veronica Cartwright, Harry Dean Stanton"
Terminator 2: Judgment Day,(1991),93%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Inception,(2010),87%,Christopher Nolan,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard"
The Matrix,(1999),88%,"Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano"
Star Wars: Episode IV - A New Hope,(1977),92%,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
Metropolis,(1927),97%,Fritz Lang,"Alfred Abel, Gustav Frolich, Brigitte Helm, Gustav Fröhlich"
Blade Runner,(1982),90%,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Daryl Hannah"
Back to the Future,(1985),96%,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson"
2001: A Space Odyssey,(1968),92%,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter"
